date,state
2011-06-15 15:14:06.612532,1
2011-06-15 15:15:42.834775,0
2011-06-15 16:47:57.028569,1
2011-06-15 16:51:39.741747,0
2011-06-15 18:49:26.574900,1
2011-06-15 18:55:40.820660,0
2011-06-15 19:48:51.398152,1
2011-06-15 19:48:51.619481,0
2011-06-15 19:48:52.626600,1
2011-06-15 19:50:34.171734,0
2011-06-15 20:14:05.825583,1
2011-06-15 20:16:09.423355,0
2011-06-16 09:27:57.054846,1
2011-06-16 09:29:37.872683,0
2011-06-16 13:37:01.018403,1
2011-06-16 13:38:23.292677,0
2011-06-16 17:50:05.177664,1
2011-06-16 17:52:35.842271,0
2011-06-16 17:56:44.263038,1
2011-06-16 17:57:15.437842,0
2011-06-16 19:23:45.422823,1
2011-06-16 19:25:37.966899,0
2011-06-16 19:46:09.021923,1
2011-06-16 19:50:16.641991,0
2011-06-16 21:26:11.571198,1
2011-06-16 21:37:05.079128,0
2011-06-17 07:39:26.449460,1
2011-06-17 07:40:18.083999,0
2011-06-17 08:23:36.470977,1
2011-06-17 08:38:50.835603,0
2011-06-17 08:47:49.247346,1
2011-06-17 09:29:18.181450,0
2011-06-17 10:11:42.625518,1
2011-06-17 10:13:17.870864,0
2011-06-17 11:00:53.608410,1
2011-06-17 11:03:07.534281,0
2011-06-17 15:57:49.584496,1
2011-06-17 15:59:45.204453,0
2011-06-17 17:49:47.126949,1
2011-06-17 17:51:36.007199,0
2011-06-17 19:12:22.718216,1
2011-06-17 19:18:10.530672,0
2011-06-17 21:50:59.964713,1
2011-06-17 21:59:29.910779,0
2011-06-18 17:50:20.468996,1
2011-06-18 17:52:55.616443,0
2011-06-18 21:54:42.848960,1
2011-06-18 22:01:49.107386,0
2011-06-19 11:18:55.527800,1
2011-06-19 11:20:16.133298,0
2011-06-19 12:58:47.606386,1
2011-06-19 13:01:57.269862,0
2011-06-19 13:22:40.318241,1
2011-06-19 13:26:01.953408,0
2011-06-19 15:25:20.030909,1
2011-06-19 15:27:48.237764,0
2011-06-19 17:02:07.095277,1
2011-06-19 17:04:39.878705,0
2011-06-19 17:40:14.947430,1
2011-06-19 17:43:00.773815,0
2011-06-19 19:57:43.905930,1
2011-06-19 20:02:16.594187,0
2011-06-19 20:51:32.240820,1
2011-06-19 21:01:43.543355,0
2011-06-20 17:49:06.858376,1
2011-06-20 17:51:25.632569,0
2011-06-20 19:45:05.267216,1
2011-06-20 19:49:13.330147,0
2011-06-20 20:16:40.365017,1
2011-06-20 20:19:15.148181,0
2011-06-20 20:53:44.346663,1
2011-06-20 21:01:52.866054,0
2011-06-21 10:23:50.867817,1
2011-06-21 10:24:24.249003,0
2011-06-21 12:41:01.536201,1
2011-06-21 12:42:23.605206,0
2011-06-21 12:45:52.599313,1
2011-06-21 12:47:25.929916,0
2011-06-21 13:54:29.910723,1
2011-06-21 13:55:53.222897,0
2011-06-21 16:25:36.950083,1
2011-06-21 16:27:56.208635,0
2011-06-21 16:37:36.699433,1
2011-06-21 16:38:58.668424,0
2011-06-21 17:42:35.248074,1
2011-06-21 17:42:36.136259,0
2011-06-21 17:42:36.832339,1
2011-06-21 17:45:52.651451,0
2011-06-21 17:47:15.362187,1
2011-06-21 17:47:55.451388,0
2011-06-21 20:17:42.899825,1
2011-06-21 20:22:43.947270,0
2011-06-21 20:26:40.292776,1
2011-06-21 20:27:02.420768,0
2011-06-21 20:39:39.459050,1
2011-06-21 20:41:28.967405,0
2011-06-21 21:04:19.659034,1
2011-06-21 21:12:46.568669,0
2011-06-22 17:08:24.262962,1
2011-06-22 17:09:15.200545,0
