date,state
2011-06-15 08:52:55.162734,1
2011-06-15 08:55:31.805826,0
2011-06-15 09:05:12.401376,1
2011-06-15 09:07:47.089284,0
2011-06-15 21:31:39.081332,1
2011-06-15 21:46:13.603896,0
2011-06-16 09:09:51.984359,1
2011-06-16 09:11:13.534261,0
2011-06-16 20:07:41.459556,1
2011-06-16 20:07:44.035780,0
2011-06-16 20:07:48.655945,1
2011-06-16 20:07:48.793034,0
2011-06-16 20:08:01.210784,1
2011-06-16 20:08:01.455718,0
2011-06-16 20:09:03.259294,1
2011-06-16 20:09:04.481398,0
2011-06-16 21:50:37.569598,1
2011-06-16 21:55:27.279277,0
2011-06-17 09:27:35.406741,1
2011-06-17 09:28:33.136881,0
2011-06-17 10:38:36.272180,1
2011-06-17 11:15:00.251608,0
2011-06-17 11:50:22.499755,1
2011-06-17 11:51:46.023092,0
2011-06-17 19:14:08.519982,1
2011-06-17 19:15:10.525803,0
2011-06-17 22:16:16.729312,1
2011-06-17 22:21:30.539958,0
2011-06-18 08:06:09.681137,1
2011-06-18 08:06:56.827791,0
2011-06-18 11:14:38.957990,1
2011-06-18 11:16:27.872750,0
2011-06-18 11:44:20.623995,1
2011-06-18 11:45:22.454253,0
2011-06-18 16:49:05.928977,1
2011-06-18 16:50:41.192653,0
2011-06-18 19:13:47.392861,1
2011-06-18 19:17:29.192920,0
2011-06-18 19:19:21.781094,1
2011-06-18 19:20:34.824501,0
2011-06-18 22:19:00.591794,1
2011-06-18 22:22:26.047794,0
2011-06-19 07:04:08.385503,1
2011-06-19 09:01:07.887305,0
2011-06-19 09:21:44.019807,1
2011-06-19 09:22:30.391173,0
2011-06-19 13:04:55.779900,1
2011-06-19 13:05:19.873332,0
2011-06-19 21:17:00.188035,1
2011-06-19 21:19:53.502408,0
2011-06-19 21:21:06.765820,1
2011-06-19 21:22:05.312833,0
2011-06-20 11:19:16.203107,1
2011-06-20 11:20:52.628328,0
2011-06-20 11:59:42.194104,1
2011-06-20 12:05:52.455517,0
2011-06-20 16:45:36.363763,1
2011-06-20 16:46:08.331317,0
2011-06-20 21:15:35.029850,1
2011-06-20 21:19:27.581760,0
2011-06-21 09:05:57.786383,1
2011-06-21 09:09:03.884158,0
2011-06-21 09:09:50.860881,1
2011-06-21 09:11:34.603017,0
2011-06-21 10:29:16.671936,1
2011-06-21 10:30:27.321958,0
2011-06-21 16:34:47.336020,1
2011-06-21 16:36:35.807932,0
2011-06-21 20:22:57.001271,1
